state,x,y
Andhra Pradesh,-53,-157
Arunachal Pradesh,273,155
Assam,247,111
Bihar,100,90
Chhattisgarh,13,-9
Goa,-163,-135	
Gujarat,-200,44
Haryana,-91,177
Himachal Pradesh,-67,240
Jharkhand,89,43
Karnataka,-129,-161
Kerala,-113,-260
Madhya Pradesh,-61,35
Maharashtra,-124,-48
Manipur,274,79
Meghalaya,216,91
Mizoram,252,45
Nagaland,285,109
Odisha,72,-26
Punjab,-109,219
Rajasthan,-145,122
Sikkim,157,138
Tamil Nadu,-68,-249
Telangana,-48,-88
Tripura,227,53
Uttar Pradesh,-3,126
Uttarakhand,-28,198
West Bengal,149,37